chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,methode_CC,methode_BC
C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultWindDatasetTest,createItem_RegularTimePeriod_int_int,12,9,0.75,1,0.75

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYDatasetTest,testEquals,19,3,0.15789473684210525,1,0.15789473684210525

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYDatasetTest,testCloning,24,5,0.20833333333333334,1,0.20833333333333334

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYDatasetTest,testPublicCloneable,7,3,0.42857142857142855,1,0.42857142857142855

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYDatasetTest,testSerialization,15,4,0.26666666666666666,1,0.26666666666666666

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYDatasetTest,testGetSeriesKey,25,6,0.24,1,0.24

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYDatasetTest,testIndexOf,10,3,0.3,1,0.3

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYDatasetTest,testAddSeries,24,5,0.20833333333333334,1,0.20833333333333334

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYDatasetTest,createSampleDataset1,17,5,0.29411764705882354,1,0.29411764705882354

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYZDatasetTest,testEquals,21,3,0.14285714285714285,1,0.14285714285714285

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYZDatasetTest,testCloning,25,5,0.2,1,0.2

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYZDatasetTest,testPublicCloneable,7,3,0.42857142857142855,1,0.42857142857142855

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYZDatasetTest,testSerialization,16,4,0.25,1,0.25

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYZDatasetTest,testGetSeriesKey,25,6,0.24,1,0.24

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYZDatasetTest,testIndexOf,10,3,0.3,1,0.3

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYZDatasetTest,testAddSeries,24,5,0.20833333333333334,1,0.20833333333333334

C:\Users\fiery\OneDrive\jfreechart-master\jfreechart-master\src\test\java\org\jfree\data\xy\,DefaultXYZDatasetTest,createSampleDataset1,19,5,0.2631578947368421,1,0.2631578947368421

