chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
E:\Downloads\jfree\data\statistics\,DefaultMultiValueCategoryDataset,779,149,0.19127086007702182,2.1111112,0.09060198407846336

E:\Downloads\jfree\data\statistics\,DefaultStatisticalCategoryDataset,1072,264,0.2462686567164179,2.1666667,0.1136624527769251

E:\Downloads\jfree\data\statistics\,HistogramBin,566,50,0.08833922261484099,1.4444444,0.06115792447036572

E:\Downloads\jfree\data\statistics\,HistogramDataset,882,215,0.2437641723356009,2.0,0.12188208616780045

E:\Downloads\jfree\data\statistics\,HistogramType,475,3,0.00631578947368421,NaN,NaN

E:\Downloads\jfree\data\statistics\,MeanAndStandardDeviation,595,64,0.10756302521008404,1.6666666,0.06453781666475188

E:\Downloads\jfree\data\statistics\,MultiValueCategoryDataset,499,23,0.04609218436873747,NaN,NaN

E:\Downloads\jfree\data\statistics\,Regression,765,72,0.09411764705882353,6.0,0.01568627450980392

E:\Downloads\jfree\data\statistics\,SimpleHistogramBin,691,89,0.1287988422575977,2.75,0.04683594263912643

E:\Downloads\jfree\data\statistics\,SimpleHistogramDataset,891,229,0.2570145903479237,1.5,0.17134306023194912

E:\Downloads\jfree\data\statistics\,StatisticalCategoryDataset,534,39,0.07303370786516854,1.0,0.07303370786516854

E:\Downloads\jfree\data\statistics\,Statistics,876,151,0.1723744292237443,3.5384614,0.04871451386915004

E:\Downloads\jfree\data\resources\,DataPackageResources,516,10,0.01937984496124031,1.0,0.01937984496124031

E:\Downloads\jfree\data\resources\,DataPackageResources_de,516,9,0.01744186046511628,1.0,0.01744186046511628

E:\Downloads\jfree\data\resources\,DataPackageResources_es,518,9,0.017374517374517374,1.0,0.017374517374517374

E:\Downloads\jfree\data\resources\,DataPackageResources_fr,518,9,0.017374517374517374,1.0,0.017374517374517374

E:\Downloads\jfree\data\resources\,DataPackageResources_pl,519,9,0.017341040462427744,1.0,0.017341040462427744

E:\Downloads\jfree\data\resources\,DataPackageResources_ru,520,9,0.01730769230769231,1.0,0.01730769230769231

E:\Downloads\jfree\data\json\impl\,JSONArray,622,50,0.08038585209003216,2.6,0.030917636553295286

E:\Downloads\jfree\data\json\impl\,JSONAware,524,15,0.02862595419847328,NaN,NaN

E:\Downloads\jfree\data\json\impl\,JSONObject,659,68,0.10318664643399089,2.0,0.051593323216995446

E:\Downloads\jfree\data\json\impl\,JSONStreamAware,535,18,0.03364485981308411,NaN,NaN

E:\Downloads\jfree\data\json\impl\,JSONValue,804,137,0.17039800995024876,4.428571,0.03847697176430616

E:\Downloads\jfree\data\json\impl\package-,info,521,3,0.005758157389635317,NaN,NaN

E:\Downloads\jfree\data\json\,JSONUtils,670,50,0.07462686567164178,3.5,0.021321961620469083

E:\Downloads\jfree\data\json\package-,info,532,3,0.005639097744360902,NaN,NaN

E:\Downloads\jfree\data\jdbc\,JDBCCategoryDataset,758,91,0.12005277044854881,4.714286,0.025465738450115787

E:\Downloads\jfree\data\jdbc\,JDBCPieDataset,707,64,0.09052333804809053,3.6666667,0.024688182568922742

E:\Downloads\jfree\data\jdbc\,JDBCXYDataset,987,178,0.18034447821681865,3.8333333,0.047046386597146835

E:\Downloads\jfree\data\io\,CSV,709,56,0.07898448519040903,2.6666667,0.029619181063683

E:\Downloads\jfree\data\general\,AbstractDataset,790,136,0.17215189873417722,1.2857143,0.1338959230112087

E:\Downloads\jfree\data\general\,AbstractSeriesDataset,646,30,0.04643962848297214,1.4,0.03317116376702451

E:\Downloads\jfree\data\general\,Dataset,594,11,0.018518518518518517,NaN,NaN

E:\Downloads\jfree\data\general\,DatasetChangeEvent,614,23,0.03745928338762215,1.0,0.03745928338762215

E:\Downloads\jfree\data\general\,DatasetChangeListener,588,4,0.006802721088435374,NaN,NaN

E:\Downloads\jfree\data\general\,DatasetGroup,657,33,0.0502283105022831,1.5,0.0334855403348554

E:\Downloads\jfree\data\general\,DatasetUtils,2741,703,0.2564757387814666,4.3333335,0.059186706778613755

E:\Downloads\jfree\data\general\,DefaultHeatMapDataset,882,132,0.14965986394557823,2.1333334,0.07015305756572272

E:\Downloads\jfree\data\general\,DefaultKeyedValueDataset,758,63,0.08311345646437995,1.9,0.043743925003850735

E:\Downloads\jfree\data\general\,DefaultKeyedValues2DDataset,637,8,0.012558869701726845,NaN,NaN

E:\Downloads\jfree\data\general\,DefaultKeyedValuesDataset,634,6,0.00946372239747634,NaN,NaN

E:\Downloads\jfree\data\general\,DefaultPieDataset,913,159,0.1741511500547645,1.5789474,0.11029572442353504

E:\Downloads\jfree\data\general\,DefaultValueDataset,718,43,0.05988857938718663,1.2857143,0.04658000680700843

E:\Downloads\jfree\data\general\,HeatMapDataset,739,75,0.10148849797023005,1.0,0.10148849797023005

E:\Downloads\jfree\data\general\,HeatMapUtils,720,34,0.04722222222222222,2.3333333,0.020238095927400678

E:\Downloads\jfree\data\general\,KeyedValueDataset,652,4,0.006134969325153374,NaN,NaN

E:\Downloads\jfree\data\general\,KeyedValues2DDataset,657,8,0.0121765601217656,NaN,NaN

E:\Downloads\jfree\data\general\,KeyedValuesDataset,654,4,0.0061162079510703364,NaN,NaN

