chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
./classesTest/jfree/chart/event/,ChartChangeEventType,5,6,1.0,NaN,NaN

./classesTest/jfree/chart/event/,ChartChangeListener,3,13,4.0,NaN,NaN

./classesTest/jfree/chart/event/,ChartProgressEvent,13,45,3.0,1.0,3.0

./classesTest/jfree/chart/event/,ChartProgressEventType,4,5,1.0,NaN,NaN

./classesTest/jfree/chart/event/,ChartProgressListener,3,9,3.0,NaN,NaN

./classesTest/jfree/chart/event/,MarkerChangeEvent,3,22,7.0,1.0,7.0

./classesTest/jfree/chart/event/,MarkerChangeListener,3,13,4.0,NaN,NaN

./classesTest/jfree/chart/event/,OverlayChangeEvent,2,10,5.0,1.0,5.0

./classesTest/jfree/chart/event/,OverlayChangeListener,3,10,3.0,NaN,NaN

./classesTest/jfree/chart/event/,PlotChangeEvent,3,17,5.0,1.0,5.0

./classesTest/jfree/chart/event/,PlotChangeListener,3,10,3.0,NaN,NaN

./classesTest/jfree/chart/event/,RendererChangeEvent,4,37,9.0,1.0,9.0

./classesTest/jfree/chart/event/,RendererChangeListener,3,9,3.0,NaN,NaN

./classesTest/jfree/chart/event/,TitleChangeEvent,3,14,4.0,1.0,4.0

./classesTest/jfree/chart/event/,TitleChangeListener,3,10,3.0,NaN,NaN

./classesTest/jfree/chart/entity/,AxisEntity,26,77,2.0,2.0,1.0

./classesTest/jfree/chart/entity/,CategoryItemEntity,17,92,5.0,1.625,3.076923076923077

./classesTest/jfree/chart/entity/,CategoryLabelEntity,11,37,3.0,1.75,1.7142857142857142

./classesTest/jfree/chart/entity/,ChartEntity,51,149,2.0,1.6875,1.1851851851851851

./classesTest/jfree/chart/entity/,EntityCollection,10,47,4.0,NaN,NaN

./classesTest/jfree/chart/entity/,JFreeChartEntity,26,76,2.0,2.0,1.0

./classesTest/jfree/chart/entity/,LegendItemEntity,13,76,5.0,1.7142857,2.916666637692187

./classesTest/jfree/chart/entity/,PieSectionEntity,19,94,4.0,1.5454545,2.588235366715694

./classesTest/jfree/chart/entity/,PlotEntity,26,76,2.0,2.0,1.0

./classesTest/jfree/chart/entity/,StandardEntityCollection,26,69,2.0,1.3636364,1.4666666550106473

./classesTest/jfree/chart/entity/,TickLabelEntity,4,12,3.0,1.0,3.0

./classesTest/jfree/chart/entity/,TitleEntity,26,76,2.0,2.0,1.0

./classesTest/jfree/chart/entity/,XYAnnotationEntity,10,31,3.0,2.3333333,1.2857143295054547

./classesTest/jfree/chart/entity/,XYItemEntity,15,61,4.0,1.5,2.6666666666666665

./classesTest/jfree/chart/encoders/,EncoderUtil,49,85,1.0,NaN,NaN

./classesTest/jfree/chart/encoders/,ImageEncoder,9,42,4.0,NaN,NaN

./classesTest/jfree/chart/encoders/,ImageEncoderFactory,23,47,2.0,1.3333334,1.4999999552965178

./classesTest/jfree/chart/encoders/,ImageFormat,5,6,1.0,NaN,NaN

./classesTest/jfree/chart/encoders/,SunJPEGEncoderAdapter,30,61,2.0,1.2,1.6666666004392863

./classesTest/jfree/chart/encoders/,SunPNGEncoderAdapter,19,44,2.0,1.0,2.0

./classesTest/jfree/chart/editor/,ChartEditor,3,11,3.0,NaN,NaN

./classesTest/jfree/chart/editor/,ChartEditorFactory,3,10,3.0,NaN,NaN

./classesTest/jfree/chart/editor/,ChartEditorManager,3,27,9.0,1.0,9.0

./classesTest/jfree/chart/editor/,DefaultChartEditorFactory,3,56,18.0,1.0,18.0

./classesTest/jfree/chart/editor/,DefaultLogAxisEditor,9,30,3.0,1.7142857,1.749999982615312

./classesTest/jfree/chart/editor/,DefaultPolarPlotEditor,12,119,9.0,1.5555556,5.78571418718416

./classesTest/jfree/chart/date/,MonthConstants,14,90,6.0,NaN,NaN

./classesTest/jfree/chart/date/,SerialDate,87,463,5.0,3.064516,1.63157898012621

./classesTest/jfree/chart/date/,SpreadsheetDate,24,188,7.0,1.7,4.117646943326643

./classesTest/jfree/chart/block/,AbstractBlock,59,290,4.0,1.516129,2.6382978991072017

./classesTest/jfree/chart/block/,Arrangement,7,26,3.0,NaN,NaN

./classesTest/jfree/chart/block/,Block,9,53,5.0,NaN,NaN

./classesTest/jfree/chart/block/,BlockBorder,23,76,3.0,2.0,1.5

./classesTest/jfree/chart/block/,BlockContainer,16,92,5.0,1.7857143,2.800000026702881

./classesTest/jfree/chart/block/,BlockFrame,4,18,4.0,NaN,NaN

./classesTest/jfree/chart/block/,BlockParams,6,56,9.0,1.0,9.0

./classesTest/jfree/chart/block/,BlockResult,4,18,4.0,1.0,4.0

./classesTest/jfree/chart/block/,BorderArrangement,254,89,0.0,5.4,0.0

./classesTest/jfree/chart/block/,CenterArrangement,113,123,1.0,1.4,0.7142857264499277

./classesTest/jfree/chart/block/,ColorBlock,17,65,3.0,1.5,2.0

./classesTest/jfree/chart/block/,ColumnArrangement,137,109,0.0,3.6,0.0

./classesTest/jfree/chart/block/,EmptyBlock,11,43,3.0,1.0,3.0

./classesTest/jfree/chart/block/,EntityBlockParams,3,11,3.0,NaN,NaN

./classesTest/jfree/chart/block/,EntityBlockResult,3,9,3.0,NaN,NaN

./classesTest/jfree/chart/block/,FlowArrangement,163,137,0.0,3.6,0.0

./classesTest/jfree/chart/block/,GridArrangement,197,129,0.0,2.2,0.0

./classesTest/jfree/chart/block/,LabelBlock,30,180,6.0,1.6315789,3.6774194114042005

./classesTest/jfree/chart/block/,LengthConstraintType,5,6,1.0,NaN,NaN

./classesTest/jfree/chart/block/,LineBorder,20,62,3.0,2.4285715,1.2352941003225257

./classesTest/jfree/chart/block/,RectangleConstraint,25,136,5.0,1.7777778,2.812499979045242

./classesTest/jfree/chart/axis/,Axis,326,736,2.0,1.8125,1.103448275862069

./classesTest/jfree/chart/axis/,AxisCollection,6,43,7.0,1.6666666,4.200000100135806

./classesTest/jfree/chart/axis/,AxisLabelLocation,5,8,1.0,NaN,NaN

./classesTest/jfree/chart/axis/,AxisLocation,6,22,3.0,3.0,1.0

./classesTest/jfree/chart/axis/,AxisSpace,14,118,8.0,2.3333333,3.4285715453478796

./classesTest/jfree/chart/axis/,AxisState,5,74,14.0,1.3076923,10.705882503087135

./classesTest/jfree/chart/axis/,CategoryAnchor,5,7,1.0,NaN,NaN

./classesTest/jfree/chart/axis/,CategoryAxis,507,554,1.0,1.6875,0.5925925925925926

./classesTest/jfree/chart/axis/,CategoryLabelPosition,36,95,2.0,1.8888888,1.0588235591109656

./classesTest/jfree/chart/axis/,CategoryLabelPositions,157,134,0.0,3.5,0.0

./classesTest/jfree/chart/axis/,CategoryLabelWidthType,4,5,1.0,NaN,NaN

./classesTest/jfree/chart/axis/,CategoryTick,15,42,2.0,2.0,1.0

./classesTest/jfree/chart/axis/,CompassFormat,14,60,4.0,1.4,2.857142905799711

./classesTest/jfree/chart/axis/,CyclicNumberAxis,523,370,0.0,1.4761904,0.0

./classesTest/jfree/chart/axis/,DateAxis,587,567,0.0,2.2439024,0.0

./classesTest/jfree/chart/axis/,DateTick,18,44,2.0,2.0,1.0

./classesTest/jfree/chart/axis/,DateTickMarkPosition,5,7,1.0,NaN,NaN

./classesTest/jfree/chart/axis/,DateTickUnit,33,157,4.0,1.8666667,2.142857133733983

./classesTest/jfree/chart/axis/,DateTickUnitType,13,23,1.0,1.0,1.0

./classesTest/jfree/chart/axis/,ExtendedCategoryAxis,44,89,2.0,1.7142857,1.1666666550768747

./classesTest/jfree/chart/axis/,LogarithmicAxis,310,342,1.0,2.1666667,0.4615384446093323

./classesTest/jfree/chart/axis/,LogAxis,299,389,1.0,1.7857143,0.5600000053405763

./classesTest/jfree/chart/axis/,LogTick,8,19,2.0,1.0,2.0

./classesTest/jfree/chart/axis/,MarkerAxisBand,76,63,0.0,3.25,0.0

./classesTest/jfree/chart/axis/,ModuloAxis,109,152,1.0,2.0,0.5

./classesTest/jfree/chart/axis/,MonthDateFormat,44,97,2.0,1.8571428,1.076923106549055

./classesTest/jfree/chart/axis/,NumberAxis,361,382,1.0,2.0769231,0.48148146872657843

./classesTest/jfree/chart/axis/,NumberTick,14,32,2.0,1.0,2.0

./classesTest/jfree/chart/axis/,NumberTickUnit,14,51,3.0,1.6666666,1.8000000429153453

./classesTest/jfree/chart/axis/,NumberTickUnitSource,16,22,1.0,3.25,0.3076923076923077

./classesTest/jfree/chart/axis/,PeriodAxis,448,396,0.0,1.5666667,0.0

./classesTest/jfree/chart/axis/,PeriodAxisLabelInfo,70,129,1.0,1.9090909,0.523809532729947

./classesTest/jfree/chart/axis/,QuarterDateFormat,41,65,1.0,1.8,0.5555555702727522

./classesTest/jfree/chart/axis/,StandardTickUnitSource,8,45,5.0,1.1666666,4.285714431684849

./classesTest/jfree/chart/axis/,SubCategoryAxis,149,129,0.0,1.7777778,0.0

./classesTest/jfree/chart/axis/,SymbolAxis,274,231,0.0,2.4545455,0.0

./classesTest/jfree/chart/axis/,Tick,23,57,2.0,2.0,1.0

./classesTest/jfree/chart/axis/,TickType,4,7,1.0,NaN,NaN

./classesTest/jfree/chart/axis/,TickUnit,8,74,9.0,1.875,4.8

./classesTest/jfree/chart/axis/,TickUnits,14,69,4.0,1.625,2.4615384615384617

./classesTest/jfree/chart/axis/,TickUnitSource,5,29,5.0,NaN,NaN

./classesTest/jfree/chart/axis/,Timeline,9,81,9.0,NaN,NaN

./classesTest/jfree/chart/axis/,ValueAxis,391,729,1.0,1.6140351,0.6195652013352332

./classesTest/jfree/chart/axis/,ValueTick,18,52,2.0,2.3333333,0.8571428863369699

./classesTest/jfree/chart/annotations/,AbstractAnnotation,21,97,4.0,1.5,2.6666666666666665

./classesTest/jfree/chart/annotations/,AbstractXYAnnotation,26,74,2.0,1.8571428,1.076923106549055

./classesTest/jfree/chart/annotations/,Annotation,4,17,4.0,NaN,NaN

./classesTest/jfree/chart/annotations/,CategoryAnnotation,4,15,3.0,NaN,NaN

./classesTest/jfree/chart/annotations/,CategoryLineAnnotation,83,155,1.0,1.5714285,0.636363650156447

./classesTest/jfree/chart/annotations/,CategoryPointerAnnotation,97,210,2.0,1.6111112,1.2413792695216714

./classesTest/jfree/chart/annotations/,CategoryTextAnnotation,54,88,1.0,1.75,0.5714285714285714

./classesTest/jfree/chart/annotations/,TextAnnotation,26,139,5.0,1.5333333,3.2608696328219047

./classesTest/jfree/chart/annotations/,XYAnnotation,5,18,3.0,NaN,NaN

./classesTest/jfree/chart/annotations/,XYAnnotationBoundsInfo,5,24,4.0,NaN,NaN

./classesTest/jfree/chart/annotations/,XYBoxAnnotation,80,91,1.0,4.3333335,0.23076922230466615

./classesTest/jfree/chart/annotations/,XYDataImageAnnotation,83,151,1.0,1.9,0.5263157960780771

./classesTest/jfree/chart/annotations/,XYDrawableAnnotation,64,68,1.0,5.5,0.18181818181818182

./classesTest/jfree/chart/annotations/,XYImageAnnotation,71,112,1.0,2.0,0.5

./classesTest/jfree/chart/annotations/,XYLineAnnotation,87,81,0.0,4.0,0.0

./classesTest/jfree/chart/annotations/,XYPointerAnnotation,101,207,2.0,1.5263158,1.3103448114270406

./classesTest/jfree/chart/annotations/,XYPolygonAnnotation,94,121,1.0,2.142857,0.46666668150160096

./classesTest/jfree/chart/annotations/,XYShapeAnnotation,85,82,0.0,3.0,0.0

./classesTest/jfree/chart/annotations/,XYTextAnnotation,83,289,3.0,1.5185186,1.9756096929116755

./classesTest/jfree/chart/annotations/,XYTitleAnnotation,111,113,1.0,1.75,0.5714285714285714

./classesTest/jfree/chart/,ChartColor,26,44,1.0,1.0,1.0

./classesTest/jfree/chart/,ChartFactory,651,629,0.0,1.6666666,0.0

./classesTest/jfree/chart/,ChartFrame,3,263,87.0,1.3333334,65.24999805539852

./classesTest/jfree/chart/,ChartHints,7,34,4.0,1.6666666,2.4000000572204603

./classesTest/jfree/chart/,ChartMouseEvent,13,33,2.0,1.0,2.0

./classesTest/jfree/chart/,ChartMouseListener,4,17,4.0,NaN,NaN

./classesTest/jfree/chart/,ChartPanel,393,993,2.0,2.33,0.8583691268190418

./classesTest/jfree/chart/,ChartRenderingInfo,29,99,3.0,1.6,1.8749999720603232

./classesTest/jfree/chart/,ChartTheme,3,14,4.0,NaN,NaN

./classesTest/jfree/chart/,ChartTransferable,86,108,1.0,1.0,1.0

./classesTest/jfree/chart/,ChartUtils,209,358,1.0,1.0,1.0

./classesTest/jfree/chart/,HashUtils,2,145,72.0,2.2307692,32.27586313036765

./classesTest/jfree/chart/,JFreeChart,367,695,1.0,1.6774193,0.5961538639206158

./classesTest/jfree/chart/,LegendItem,193,574,2.0,1.5,1.3333333333333333

./classesTest/jfree/chart/,LegendItemCollection,12,51,4.0,1.375,2.909090909090909

./classesTest/jfree/chart/,LegendItemSource,3,10,3.0,NaN,NaN

./classesTest/jfree/chart/,LegendRenderingOrder,4,5,1.0,NaN,NaN

./classesTest/jfree/chart/,MouseWheelHandler,5,38,7.0,2.4,2.916666550768751

./classesTest/jfree/chart/,PaintMap,36,79,2.0,1.7142857,1.1666666550768747

./classesTest/jfree/chart/,PolarChartPanel,56,80,1.0,2.1666667,0.4615384446093323

./classesTest/jfree/chart/,StandardChartTheme,90,657,7.0,2.1555555,3.247422784177289

./classesTest/jfree/chart/,StrokeMap,33,76,2.0,1.7142857,1.1666666550768747

./,ClasseMetriques,3,4,1.0,4.25,0.23529411764705882

./,Main,4,4,1.0,3.2,0.3124999953433872

./,MethodeMetriques,3,4,1.0,4.0,0.25

./,Metriques,10,14,1.0,2.0769231,0.48148146872657843

